+----------------------------+--------------------+------------------------------------------------------------------------------+--------------------+-------------------+----------------------------------------------+----------------------+
| 表名                       | 字段名             | 字段类型                                                                     | 是否允许为空       | 默认值            | 字段备注                                     | 键类型(PRI主键)      |
| restaurants                | feature            | varchar(200)                                                                 | YES                | NULL              | 特色                                         |                      |
| restaurants                | phone              | varchar(20)                                                                  | YES                | NULL              | 联系电话                                     |                      |
| restaurants                | opening_hours      | varchar(100)                                                                 | YES                | NULL              | 营业时间                                     |                      |
| restaurants                | image_url          | varchar(500)                                                                 | YES                | NULL              | 图片URL                                      |                      |
| restaurants                | description        | text                                                                         | YES                | NULL              | 描述                                         |                      |
| restaurants                | created_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| restaurants                | updated_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| route_attractions          | id                 | int                                                                          | NO                 | NULL              | 关联ID                                       | PRI                  |
| route_attractions          | route_id           | int                                                                          | NO                 | NULL              | 路线ID                                       | MUL                  |
| route_attractions          | attraction_id      | int                                                                          | NO                 | NULL              | 景点ID                                       | MUL                  |
| route_attractions          | day_number         | int                                                                          | YES                | 1                 | 第几天                                       |                      |
| route_attractions          | visit_order        | int                                                                          | YES                | NULL              | 游览顺序                                     |                      |
| route_attractions          | notes              | text                                                                         | YES                | NULL              | 备注                                         |                      |
| route_attractions          | created_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| route_rating               | id                 | int                                                                          | NO                 | NULL              | 评分ID                                       | PRI                  |
| route_rating               | route_id           | int                                                                          | NO                 | NULL              | 路线ID                                       | MUL                  |
| route_rating               | user_id            | int                                                                          | NO                 | NULL              | 用户ID                                       | MUL                  |
| route_rating               | rating             | int                                                                          | NO                 | NULL              | 总评分(1-5)                                  | MUL                  |
| route_rating               | review             | text                                                                         | YES                | NULL              | 评价内容                                     |                      |
| route_rating               | comfort_rating     | int                                                                          | YES                | NULL              | 舒适度评分(1-5)                              |                      |
